_id,from,to
69d400827dca6ba0935a81bd,AER,KZN
69d400827dca6ba0935a81be,ASF,KZN
69d400827dca6ba0935a81bf,ASF,MRV
69d400827dca6ba0935a81c0,CEK,KZN
69d400827dca6ba0935a81c1,CEK,OVB
69d400827dca6ba0935a81c2,DME,KZN
69d400827dca6ba0935a81c3,DME,NBC
69d400827dca6ba0935a81c4,DME,TGK
69d400827dca6ba0935a81c5,DME,UUA
69d400827dca6ba0935a81c6,EGO,KGD
69d400827dca6ba0935a81c7,EGO,KZN
69d400827dca6ba0935a81c8,GYD,NBC
69d400827dca6ba0935a81c9,KGD,EGO
69d400827dca6ba0935a81ca,KZN,AER
69d400827dca6ba0935a81cb,KZN,ASF
69d400827dca6ba0935a81cc,KZN,CEK
69d400827dca6ba0935a81cd,KZN,DME
69d400827dca6ba0935a81ce,KZN,EGO
69d400827dca6ba0935a81cf,KZN,LED
69d400827dca6ba0935a81d0,KZN,SVX
69d400827dca6ba0935a81d1,LED,KZN
69d400827dca6ba0935a81d2,LED,NBC
69d400827dca6ba0935a81d3,LED,UUA
69d400827dca6ba0935a81d4,MRV,ASF
69d400827dca6ba0935a81d5,NBC,DME
69d400827dca6ba0935a81d6,NBC,GYD
69d400827dca6ba0935a81d7,NBC,LED
69d400827dca6ba0935a81d8,NBC,SVX
69d400827dca6ba0935a81d9,NJC,SVX
69d400827dca6ba0935a81da,NJC,UUA
69d400827dca6ba0935a81db,NUX,SVX
69d400827dca6ba0935a81dc,OVB,CEK
69d400827dca6ba0935a81dd,OVB,SVX
69d400827dca6ba0935a81de,SVX,KZN
69d400827dca6ba0935a81df,SVX,NBC
69d400827dca6ba0935a81e0,SVX,NJC
69d400827dca6ba0935a81e1,SVX,NUX
69d400827dca6ba0935a81e2,SVX,OVB
69d400827dca6ba0935a81e3,TGK,DME
69d400827dca6ba0935a81e4,UUA,DME
69d400827dca6ba0935a81e5,UUA,LED
69d400827dca6ba0935a81e6,UUA,NJC
69d400827dca6ba0935a81e7,BTK,IKT
69d400827dca6ba0935a81e8,BTK,OVB
69d400827dca6ba0935a81e9,HTA,IKT
69d400827dca6ba0935a81ea,IKT,BTK
69d400827dca6ba0935a81eb,IKT,HTA
69d400827dca6ba0935a81ec,IKT,KCK
69d400827dca6ba0935a81ed,IKT,ODO
69d400827dca6ba0935a81ee,IKT,OVB
69d400827dca6ba0935a81ef,IKT,UKX
69d400827dca6ba0935a81f0,IKT,ULK
69d400827dca6ba0935a81f1,IKT,YKS
69d400827dca6ba0935a81f2,KCK,IKT
69d400827dca6ba0935a81f3,MJZ,OVB
69d400827dca6ba0935a81f4,ODO,IKT
69d400827dca6ba0935a81f5,OVB,BTK
69d400827dca6ba0935a81f6,OVB,IKT
69d400827dca6ba0935a81f7,UKX,IKT
69d400827dca6ba0935a81f8,ULK,IKT
69d400827dca6ba0935a81f9,YKS,IKT
69d400827dca6ba0935a81fa,AYP,LIM
69d400827dca6ba0935a81fb,CUZ,LIM
69d400827dca6ba0935a81fc,CUZ,PEM
