flugroute_id,abflug_iata,ankunft_iata,richtung,de_flughafen_iata,de_flughafen_typ,ausland_stadt,ausland_flughafen_iata,fluege_bestaetigt,fluege_gesamt,airlines_bestaetigt,airlines_gesamt,anzahl_portale,portale_liste,distanz_km,distanz_kategorie
69d400827dca6ba0935a87ba,PMI,DUS,nach DE,DUS,Hub,Palma De Mallorca,PMI,103,328,9,18,2,"fluegede,idealo",1342.0,Mittel (500-1500km)
69d400827dca6ba0935a9c4c,HAM,MUC,Inland,HAM,Hub,,,103,186,5,8,3,"check24,fluegede,idealo",600.0,Mittel (500-1500km)
69d400827dca6ba0935a9cbb,MUC,HAM,Inland,MUC,Hub,,,103,168,2,4,3,"check24,fluegede,idealo",600.0,Mittel (500-1500km)
69d400827dca6ba0935ab99d,MUC,FRA,Inland,MUC,Hub,,,103,122,2,2,2,"fluegede,idealo",300.0,Kurz (0-500km)
69d400827dca6ba0935a8722,DUS,PMI,ab DE,DUS,Hub,Palma De Mallorca,PMI,99,320,13,17,2,"fluegede,idealo",1342.0,Mittel (500-1500km)
69d400827dca6ba0935a9daa,VIE,FRA,nach DE,FRA,Hub,Vienna,VIE,98,192,8,10,2,"fluegede,idealo",622.0,Mittel (500-1500km)
69d400827dca6ba0935b3905,FRA,BER,Inland,FRA,Hub,,,98,112,2,2,2,"fluegede,idealo",432.0,Kurz (0-500km)
69d400827dca6ba0935b1d82,BER,FRA,Inland,BER,Hub,,,97,111,2,2,2,"fluegede,idealo",432.0,Kurz (0-500km)
69d400827dca6ba0935a9c26,FRA,VIE,ab DE,FRA,Hub,Vienna,VIE,96,110,3,3,2,"fluegede,idealo",622.0,Mittel (500-1500km)
69d400827dca6ba0935ac78d,FRA,MUC,Inland,FRA,Hub,,,95,110,2,2,2,"fluegede,idealo",300.0,Kurz (0-500km)
69d400827dca6ba0935ac794,FRA,ZRH,ab DE,FRA,Hub,Zurich,ZRH,90,137,4,8,2,"fluegede,idealo",285.0,Kurz (0-500km)
69d400827dca6ba0935a96e2,LHR,FRA,nach DE,FRA,Hub,London,LHR,87,222,8,10,2,"fluegede,idealo",653.0,Mittel (500-1500km)
69d400827dca6ba0935a9561,FRA,LHR,ab DE,FRA,Hub,London,LHR,87,124,5,5,2,"fluegede,idealo",653.0,Mittel (500-1500km)
69d400827dca6ba0935a9be7,DUS,MUC,Inland,DUS,Hub,,,86,205,3,5,2,"fluegede,idealo",486.0,Kurz (0-500km)
69d400827dca6ba0935a9cb6,MUC,DUS,Inland,MUC,Hub,,,86,109,3,3,3,"check24,fluegede,idealo",486.0,Kurz (0-500km)
69d400827dca6ba0935a96fd,LHR,MUC,nach DE,MUC,Hub,London,LHR,85,253,6,16,2,"fluegede,idealo",942.0,Mittel (500-1500km)
69d400827dca6ba0935ac7fe,ZRH,FRA,nach DE,FRA,Hub,Zurich,ZRH,84,141,5,10,2,"fluegede,idealo",285.0,Kurz (0-500km)
69d400827dca6ba0935a9816,MUC,LHR,ab DE,MUC,Hub,London,LHR,83,268,9,17,2,"fluegede,idealo",942.0,Mittel (500-1500km)
69d400827dca6ba0935aad39,FRA,FCO,ab DE,FRA,Hub,Rome,FCO,83,222,8,20,2,"fluegede,idealo",958.0,Mittel (500-1500km)
69d400827dca6ba0935aad01,FCO,FRA,nach DE,FRA,Hub,Rome,FCO,83,211,10,19,2,"fluegede,idealo",958.0,Mittel (500-1500km)
69d400827dca6ba0935ae991,HAM,FRA,Inland,HAM,Hub,,,83,95,2,2,2,"fluegede,idealo",413.0,Kurz (0-500km)
69d400827dca6ba0935ae94b,FRA,HAM,Inland,FRA,Hub,,,82,95,2,2,2,"fluegede,idealo",413.0,Kurz (0-500km)
69d400827dca6ba0935aa3de,FRA,CDG,ab DE,FRA,Hub,Paris,CDG,81,109,3,3,2,"fluegede,idealo",447.0,Kurz (0-500km)
69d400827dca6ba0935aa326,CDG,FRA,nach DE,FRA,Hub,Paris,CDG,80,211,6,11,2,"fluegede,idealo",447.0,Kurz (0-500km)
69d400827dca6ba0935a9c23,FRA,PMI,ab DE,FRA,Hub,Palma De Mallorca,PMI,76,101,7,7,3,"check24,fluegede,idealo",1251.0,Mittel (500-1500km)
69d400827dca6ba0935a9d0c,PMI,FRA,nach DE,FRA,Hub,Palma De Mallorca,PMI,75,204,10,22,2,"fluegede,idealo",1251.0,Mittel (500-1500km)
69d400827dca6ba0935ae6d6,MUC,AMS,ab DE,MUC,Hub,Amsterdam,AMS,75,182,4,12,2,"fluegede,idealo",664.0,Mittel (500-1500km)
69d400827dca6ba0935a86d4,CGN,PMI,ab DE,CGN,Hub,Palma De Mallorca,PMI,73,343,4,11,2,"fluegede,idealo",1304.0,Mittel (500-1500km)
69d400827dca6ba0935a87b8,PMI,CGN,nach DE,CGN,Hub,Palma De Mallorca,PMI,73,300,4,12,2,"fluegede,idealo",1304.0,Mittel (500-1500km)
69d400827dca6ba0935ac784,FRA,BCN,ab DE,FRA,Hub,Barcelona,BCN,73,91,2,3,2,"fluegede,idealo",1092.0,Mittel (500-1500km)
69d400827dca6ba0935aa49d,MUC,CDG,ab DE,MUC,Hub,Paris,CDG,73,84,4,4,2,"fluegede,idealo",682.0,Mittel (500-1500km)
69d400827dca6ba0935aa350,CDG,MUC,nach DE,MUC,Hub,Paris,CDG,72,195,7,13,2,"fluegede,idealo",682.0,Mittel (500-1500km)
69d400827dca6ba0935b1d90,BER,PMI,ab DE,BER,Hub,Palma De Mallorca,PMI,71,82,6,6,2,"fluegede,idealo",1646.0,Lang (>1500km)
69d400827dca6ba0935ac753,BCN,FRA,nach DE,FRA,Hub,Barcelona,BCN,69,234,6,16,2,"fluegede,idealo",1092.0,Mittel (500-1500km)
